date,type,currency,referenceNumber,amount,note
2025/12/01,Buy,IRR,678,60000000,"BUY 196.07 OMR | SELL 60,000,000 IRR | via Rate: 306000 | Alireza khodadad"
2025/12/02,Receivee,IRR,6453,-29000000,"havala - Amount: 29,000,000 IRR transaction_id: 6453"
2025/12/02,Buy,IRR,683,29900000,"BUY 98.67 OMR | SELL 29,900,000 IRR | via Rate: 303000 | Alireza khodadad"
2025/12/02,Receivee,IRR,4218,-15000000,"havala - Amount: 150,000,000 IRR transaction_id: 4218"
2025/12/02,Receivee,IRR,9573,-48000000,"havala - Amount: 48,000,000 IRR transaction_id: 9573"
2025/12/03,Receivee,IRR,9451,-900000,"havala - Amount: 900,000 IRR transaction_id :9451"
2025/12/04,Pay,IRR,,3000000,"havala - Amount: 3,000,000 IRR"
2025/12/08,Sell,IRR,721,-31600000,"BUY 31,600,000 IRR | SELL 98.75 OMR | via Rate: 320000 | Alireza khodadad"
2025/12/08,Pay,IRR,8210,31600000,"havala - Amount: 31,600,000 IRR transaction_id: 8210"
2025/12/08,Buy,IRR,722,209950000,"BUY 645 OMR | SELL 209,950,000 IRR | via Rate: 325500 | Alireza khodadad"
2025/12/08,Receivee,IRR,7367,-150000000,"havala Amount: 150,000,000 IRR transaction_id: 7367"
2025/12/08,Receivee,IRR,0809,-20000000,"havala - Amount: 20,000,000 IRR transaction id: 0809"
2025/12/09,Receivee,IRR,0079,-39950000,"havala - Amount: 39,950,000 IRR transaction_id: 0079"
2025/12/09,Buy,IRR,739,15750000,"BUY 49.37 OMR | SELL 15,750,000 IRR | via Rate: 319000 | Alireza khodadad"
2025/12/09,Receivee,IRR,6799,-15750000,"havala - Amount: 15,750,000 IRR transaction_id: 6799"
2025/12/17,Buy,IRR,786,299000000,"BUY 884.61 OMR | SELL 299,000,000 IRR | via Rate: 338000 | Alireza khodadad"
2025/12/17,Receivee,IRR,0347,-190000000,"havala - Amount: 190,000,000 IRR transaction id: 0347"
2025/12/17,Receivee,IRR,7485,-10000000,"havala - Amount: 10,000,000 IRR transaction_id: 7485"
2025/12/17,Receivee,IRR,0816,-19000000,"havala - Amount: 19.000.000 IRR transaction_id: 0816"
2025/12/18,Buy,IRR,787,250800000,"BUY 737.64 OMR | SELL 250,800,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/19,Receivee,IRR,3272,-120000000,"havala - Amount: 120,000,000 IRR transaction_id: 3272"
2025/12/19,Receivee,IRR,3283,-80000000,"havala - Amount: 80,000,000 IRR transaction_id: 3283"
2025/12/19,Receivee,IRR,8837,-130800000,"havala - Amount: 130,800,000 IRR transaction_id: 8837"
2025/12/21,Buy,IRR,805,19000000,"Rate: 334000 | Alireza khodadad"
2025/12/22,Receivee,IRR,4933,-19000000,"havala - Amount: 19,000,000 IRR transaction_id: 4933"
2025/12/22,Buy,IRR,817,67600000,"BUY 198.82 OMR | SELL 67,600,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/22,Receivee,IRR,8978,-37600000,"havala - Amount: 37,600,000 IRR transaction_id: 8978"
2025/12/22,Receivee,IRR,6817,-30000000,"havala - Amount: 30,000,000 IRR transaction_id: 6817"
2025/12/22,Receivee,IRR,6810,-30000000,"havala - Amount: 30,000,000 IRR transaction_id: 6810"
2025/12/22,Buy,IRR,820,170000000,"BUY 497.07 OMR | SELL 170,000,000 IRR | via Rate: 342000 | Alireza khodadad"
2025/12/23,Receivee,IRR,0400,-15000000,"havala - Amount: 15,000,000 IRR transaction_id: 0400"
2025/12/23,Receivee,IRR,4336,-15000000,"havala - Amount: 15,000,000 IRR transaction_id: 4336"
2025/12/23,Receivee,IRR,4311,-170000000,"havala - Amount: 170,000,000 IRR transaction_id: 4311"
2025/12/23,Buy,IRR,837,70000000,"BUY 204.67 OMR | SELL 70,000,000 IRR | via Rate: 342000 | Alireza khodadad"
2025/12/23,Buy,IRR,838,31000000,"BUY 90.9 OMR SELL 31,000,000 IRR | via Rate: 341000 | Alireza khodadad"
2025/12/23,Receivee,IRR,8110,-31000000,"havala - Amount: 31,000,000 IRR transaction_id: 8110"
2025/12/24,Receivee,IRR,4840,-39600000,"havala - Amount: 39,600,000 IRR transaction_id: 4840"
2025/12/24,Buy,IRR,842,3000000,"BUY 8.82 OMR | SELL 3,000,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/24,Receivee,IRR,4749,-3000000,"havala - Amount: 3,000,000 IRR transaction_id: 4749"
2025/12/24,Receivee,IRR,5302,-70000000,"havala - Amount: 70,000,000 IRR transaction_id: 5302"
2025/12/24,Buy,IRR,845,24150000,"BUY 68.6 OMR | SELL 24,150,000 IRR | via Rate: 352000 | Alireza khodadad"
2025/12/25,Receivee,IRR,3529,-24150000,"havala - Amount: 24,150,000 IRR transaction_id: 3529"
2025/12/25,Buy,IRR,846,25000000,"BUY 72.88 OMR | SELL 25,000,000 IRR | via Rate: 343000 | Alireza khodadad"
2025/12/25,Receivee,IRR,0568,-25000000,"havala - Amount: 25,000,000 IRR transaction_id: 0568"
2025/12/27,Buy,IRR,862,763250000,"BUY 2,137.95 OMR | SELL 763,250,000 IRR | via Rate: 357000 | Alireza khodadad"
2025/12/27,Buy,IRR,856,24000000,"BUY 68.57 OMR | SELL 24,000,000 IRR | via Rate: 350000 | Alireza khodadad"
2025/12/28,Receivee,IRR,7142,-20000000,"havala - Amount: 20,000,000 IRR transaction_id: 7142"
2025/12/28,Receivee,IRR,0950,-4000000,"havala - Amount: 4,000,000 IRR transaction_id: 0950"
2025/12/28,Receivee,IRR,9755,-4500000,"havala - Amount: 4,500,000 IRR transaction_id: 9755"
2025/12/29,Receivee,IRR,9973,-3000000,"transaction_id: 9973"
2025/12/29,Receivee,IRR,8936,-53250000,"havala - Amount: 53,250,000 IRR transaction_id: 8936"
2025/12/29,Receivee,IRR,3459,-175000000,"havala Amount: 175,000,000 IRR transaction_id: 3459"
2025/12/29,Receivee,IRR,8784,-175000000,"havala - Amount: 175,000,000 IRR transaction_id: 8784"
2025/12/29,Receivee,IRR,0291,-175000000,"havala - Amount: 175,000,000 IRR transaction_id: 0291"
2025/12/29,Receivee,IRR,6603,-116715000,"havala Arnount: 116,715,000 IRR transaction_id: 6603"
2025/12/29,Receivee,IRR,3548,-58285000,"havala - Amount: 58,285,000 IRR transaction_id: 3548"
2025/12/29,Receivee,IRR,4326,-7000000,"havala Amount: 7,000,000 IRR transaction id: 4326"
2025/12/29,Receivee,IRR,,-3000000,"havala - Amount: 3,000,000 IRR"
2025/12/30,Buy,IRR,894,37840000,"BUY 106.89 OMR | SELL 37,840,000 IRR | via Rate: 354000 | Alireza khodadad"
2025/12/30,Receivee,IRR,3444,-37840000,"havala - Amount: 37,840,000 IRR transaction id: 3444"
2025/12/31,Receivee,IRR,8176,-115350000,"havala - Amount: 115,350,000 IRR transaction_id: 8176"
2025/12/01,Sell,OMR,678,-196.07,"BUY 196.07 OMR | SELL 60,000,000 IRR | via Rate: 306000 | Alireza khodadad"
2025/12/02,Sell,OMR,683,-98.67,"BUY 98.67 OMR | SELL 29,900,000 IRR | via Rate: 303000 | Alireza khodadad"
2025/12/02,Pay,OMR,3364,100,"havala - Amount: 100 OMR transaction id: 3364"
2025/12/07,Pay,OMR,,60,"havala Amount: 60 OMR"
2025/12/08,Receivee,OMR,8548,-99,"havala Amount: 99 OMR transaction id: 8548"
2025/12/08,Buy,OMR,721,98.75,"BUY 31,600,000 IRR | SELL 98.75 OMR | via Rate: 320000 | Alireza khodadad"
2025/12/08,Sell,OMR,722,-645,"BUY 645 OMR | SELL 209,950,000 IRR | via Rate: 325500 | Alireza khodadad"
2025/12/08,Pay,OMR,8449,650,"havala Amount: 650 OMR transaction_id: 8449"
2025/12/09,Sell,OMR,739,-49.37,"BUY 49.37 OMR | SELL 15,750,000 IRR | via Rate: 319000 Alireza khodadad"
2025/12/09,Pay,OMR,0152,50,"havala Amount: 50 OMR transaction id: 0152"
2025/12/15,Receivee,OMR,6774,-100,"havala - Amount: 100 OMR transaction id: 6774"
2025/12/15,Receivee,OMR,9610,-89.5,"havala - Amount: 89.5 OMR transaction_id: 9610"
2025/12/15,Receivee,OMR,1512,-105.22,"havala Amount: 105.22 OMR transaction id: 1512"
2025/12/17,Sell,OMR,786,-884.61,"BUY 884.61 OMR | SELL 299,000,000 IRR | via Rate: 338000 | Alireza khodadad"
2025/12/17,Pay,OMR,1888,890,"havala - Amount: 890 OMR transaction_id: 1888"
2025/12/18,Sell,OMR,787,-737.64,"BUY 737.64 OMR | SELL 250,800,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/18,Pay,OMR,4883,700,"havala - Amount: 700 OMR transaction id: 4883"
2025/12/21,Sell,OMR,805,-56.88,"BUY 56.88 OMR | SELL 19,000,000 IRR | via Rate: 334000 | Alireza khodadad"
2025/12/21,Pay,OMR,2272,75.25,"havala Amount: 75.25 OMR transaction id: 2272"
2025/12/22,Sell,OMR,817,-198.82,"BUY 198.82 OMR | SELL 67,600,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/22,Pay,OMR,3266,200,"havala Amount: 200 OMR transaction id: 3266"
2025/12/22,Sell,OMR,820,-497.07,"BUY 497.07 OMR | SELL 170,000,000 IRR | via Rate: 342000 Alireza khodadad"
2025/12/22,Pay,OMR,6931,500,"havala - Amount: 500 OMR transaction_id: 6931"
