root@iranexpedia:~# dotnet-dump analyze /root/core_20251123_141914
Loading core dump: /root/core_20251123_141914 ...
Ready to process analysis commands. Type 'help' to list available commands or 'help [command]' to get detailed help on a command.
Type 'quit' or 'exit' to exit the session.
> dumpheap -stat                                                                                                                                                                                     
Statistics:
          MT   Count   TotalSize Class Name
7a5abc0ecc30       1          24 System.Collections.Generic.StringEqualityComparer
7a5abc1808a8       1          24 System.OrdinalCaseSensitiveComparer
7a5abc0efe70       1          24 System.Collections.Generic.NonRandomizedStringEqualityComparer+OrdinalIgnoreCaseComparer
7a5abc180ca8       1          24 System.OrdinalIgnoreCaseComparer
7a5abc19dd98       1          24 Program+<>c__DisplayClass0_0
7a5abd665dc0       1          24 Microsoft.Extensions.Primitives.ChangeToken+<>c
7a5abd6661e0       1          24 Microsoft.Extensions.Primitives.ChangeToken+ChangeTokenRegistration<System.Action>+<>c
7a5abd666610       1          24 Microsoft.Extensions.Configuration.ConfigurationReloadToken+<>c
7a5abd667c40       1          24 Microsoft.Extensions.Primitives.ChangeToken+ChangeTokenRegistration<System.Action>+NoopDisposable
7a5abd837e70       1          24 Microsoft.Extensions.Hosting.HostApplicationBuilder+<>c
7a5abc0eda98       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Object>
7a5abda23e58       1          24 Microsoft.Extensions.Hosting.HostBuilder+<>c
7a5abda27660       1          24 Microsoft.Extensions.DependencyInjection.LoggingServiceCollectionExtensions+<>c
7a5abda28358       1          24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions
7a5abda28a98       1          24 Microsoft.Extensions.Logging.DefaultLoggerLevelConfigureOptions+<>c__DisplayClass0_0
7a5abd854a80       1          24 Microsoft.Extensions.Hosting.HostApplicationBuilder+LoggingBuilder
7a5abd854c30       1          24 Microsoft.Extensions.Hosting.HostApplicationBuilder+MetricsBuilder
7a5abdca2e48       1          24 System.Reflection.CerHashtable<System.Reflection.RuntimeMethodInfo, System.Reflection.RuntimeMethodInfo>
7a5abdd31280       1          24 Microsoft.Extensions.FileProviders.Physical.Internal.PathUtils+<>c
7a5abdeb2e10       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.FileProviders.IPollingChangeToken>
7a5abdf62138       1          24 System.IO.Enumeration.FileSystemEnumerableFactory+<>c
7a5abdf81320       1          24 System.Buffers.SharedArrayPool<System.Char>+<>c
7a5abdf82728       1          24 System.IO.FileSystemWatcher+RunningInstance+<>c
7a5abdf831c0       1          24 Microsoft.Extensions.Primitives.CancellationChangeToken+<>c
7a5abdf854b0       1          24 Microsoft.Extensions.Logging.LoggerFilterConfigureOptions
7a5abdf84fb8       1          24 Microsoft.Extensions.Logging.Configuration.LoggingConfiguration
7a5abdf8e180       1          24 Microsoft.Extensions.Logging.LoggerFilterRule[]
7a5abe383c68       1          24 System.Collections.Generic.ObjectEqualityComparer<System.RuntimeType>
7a5abe3881c0       1          24 System.Reflection.Missing
7a5abe388340       1          24 System.Type+<>c
7a5abe3b6e98       1          24 Microsoft.Extensions.Hosting.HostingHostBuilderExtensions+<>c
7a5abe3b7ab0       1          24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfigureOptions
7a5abe3b7610       1          24 Microsoft.Extensions.Diagnostics.Metrics.Configuration.MetricsConfiguration
7a5abe3b9e90       1          24 Microsoft.AspNetCore.Builder.WebApplicationBuilder+<>c
7a5abe3ba780       1          24 Microsoft.Extensions.Hosting.GenericHostWebHostBuilderExtensions+<>c
7a5abe3bcca0       1          24 Microsoft.AspNetCore.WebHost+<>c
7a5abe3be460       1          24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c
7a5abe3be988       1          24 Microsoft.AspNetCore.Hosting.WebHostBuilderQuicExtensions+<>c__DisplayClass1_0
7a5abea415e8       1          24 System.Collections.Generic.GenericEqualityComparer<System.Guid>
7a5abea41de8       1          24 System.Net.NetEventSource+<>c
7a5abea44588       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Diagnostics.Metrics.Instrument>
7a5abea45118       1          24 Microsoft.AspNetCore.Hosting.WebHostBuilderKestrelExtensions+<>c__DisplayClass6_0
7a5abea45238       1          24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_0
7a5abea499d8       1          24 System.Exception[]
7a5abea49c70       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.Assembly>
7a5abeb80eb8       1          24 Microsoft.AspNetCore.Hosting.GenericWebHostBuilder+<>c
7a5abeb812e8       1          24 System.Diagnostics.LegacyPropagator
7a5abeb88218       1          24 Microsoft.AspNetCore.WebHost+<>c__DisplayClass12_1
7a5abee60628       1          24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c__DisplayClass1_0
7a5abee63378       1          24 Microsoft.Extensions.DependencyInjection.RoutingServiceCollectionExtensions+<>c
7a5abee64678       1          24 System.Action<Microsoft.Extensions.Hosting.HostBuilderContext, System.Object>[]
7a5abcdb5710       1          24 Program+<>c
7a5abee69870       1          24 Serilog.Core.Pipeline.SilentLogger
7a5abee66f60       1          24 Serilog.SerilogServiceCollectionExtensions+<>c
7a5abee69dd8       1          24 Serilog.SerilogServiceCollectionExtensions+<>c__DisplayClass4_0
7a5abee6b440       1          24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Hosting.IWebHostEnvironment>
7a5abee6d3b0       1          24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c__3<Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager>
7a5abee6f0e0       1          24 Microsoft.AspNetCore.Mvc.ApplicationParts.ApplicationPartManager+<>c
7a5abeed08b8       1          24 System.Reflection.Assembly[]
7a5abef161a0       1          24 Microsoft.AspNetCore.Mvc.ApplicationParts.AssemblyPart
